"MitorRNA_IQTREE_NN"	"MitorRNA_RAxML_NN"	"MitorRNA_MrB_NN"	"Mito_IQTREE_NN"	"Mito_RAxML_NN"	"Mito_MrB_NN"	"atp6_IQTREE_NN"	"atp6_RAxML_NN"	"atp6_MrB_NN"	"atp6C3_IQTREE_NN"	"cox1_IQTREE_NN"	"cox1_RAxML_NN"	"cox1_MrB_NN"	"cox1C3_IQTREE_NN"	"cox2_IQTREE_NN"	"cox2_RAxML_NN"	"cox2_MrB_NN"	"cox2C3_IQTREE_NN"	"cox3_IQTREE_NN"	"cox3_RAxML_NN"	"cox3_MrB_NN"	"cox3C3_IQTREE_NN"	"cytb_IQTREE_NN"	"cytb_RAxML_NN"	"cytb_MrB_NN"	"cytbC3_IQTREE_NN"	"nad1_IQTREE_NN"	"nad1_RAxML_NN"	"nad1_MrB_NN"	"nad1C3_IQTREE_NN"	"nad2_IQTREE_NN"	"nad2_RAxML_NN"	"nad2_MrB_NN"	"nad2C3_IQTREE_NN"	"nad3_IQTREE_NN"	"nad3_RAxML_NN"	"nad3_MrB_NN"	"nad3C3_IQTREE_NN"	"nad4L_IQTREE_NN"	"nad4L_RAxML_NN"	"nad4L_MrB_NN"	"nad4LC3_IQTREE_NN"	"nad4_IQTREE_NN"	"nad4_RAxML_NN"	"nad4_MrB_NN"	"nad4C3_IQTREE_NN"	"nad5_IQTREE_NN"	"nad5_RAxML_NN"	"nad5_MrB_NN"	"nad5C3_IQTREE_NN"	"nad6_IQTREE_NN"	"nad6_RAxML_NN"	"nad6_MrB_NN"	"nad6C3_IQTREE_NN"	"r18S_IQTREE_NN"	"r18S_RAxML_NN"	"r18S_MrB_NN"	"r28S_IQTREE_NN"	"r28S_RAxML_NN"	"r28S_MrB_NN"	"rrnL_IQTREE_NN"	"rrnL_RAxML_NN"	"rrnL_MrB_NN"	"rrnS_IQTREE_NN"	"rrnS_RAxML_NN"	"rrnS_MrB_NN"	"Mito_IQTREE_AA"	"Mito_RAxML_AA"	"Mito_MrB_AA"	"atp6_IQTREE_AA"	"atp6_RAxML_AA"	"atp6_MrB_AA"	"cox1_IQTREE_AA"	"cox1_RAxML_AA"	"cox1_MrB_AA"	"cox2_IQTREE_AA"	"cox2_RAxML_AA"	"cox2_MrB_AA"	"cox3_IQTREE_AA"	"cox3_RAxML_AA"	"cox3_MrB_AA"	"cytb_IQTREE_AA"	"cytb_RAxML_AA"	"cytb_MrB_AA"	"nad1_IQTREE_AA"	"nad1_RAxML_AA"	"nad1_MrB_AA"	"nad2_IQTREE_AA"	"nad2_RAxML_AA"	"nad2_MrB_AA"	"nad3_IQTREE_AA"	"nad3_RAxML_AA"	"nad3_MrB_AA"	"nad4L_IQTREE_AA"	"nad4L_RAxML_AA"	"nad4L_MrB_AA"	"nad4_IQTREE_AA"	"nad4_RAxML_AA"	"nad4_MrB_AA"	"nad5_IQTREE_AA"	"nad5_RAxML_AA"	"nad5_MrB_AA"	"nad6_IQTREE_AA"	"nad6_RAxML_AA"	"nad6_MrB_AA"	"Cluster"
0	0	0	4	2	4	6	16	9	8	12	12	9	10	10	10	8	8	10	10	8	10	12	14	11	12	8	8	8	8	20	16	13	20	12	14	12	12	12	12	9	16	12	12	10	12	10	12	10	12	16	16	12	18	4	4	6	8	8	7	8	10	6	10	8	7	4	4	6	12	12	10	10	10	9	10	10	8	12	12	6	12	12	10	4	4	6	18	18	8	14	14	13	10	8	9	10	10	10	12	12	11	14	14	9	5
0	0	0	4	2	4	6	16	9	8	12	12	9	10	10	10	8	8	10	10	8	10	12	14	11	12	8	8	8	8	20	16	13	20	12	14	12	12	12	12	9	16	12	12	10	12	10	12	10	12	16	16	12	18	4	4	6	8	8	7	8	10	6	10	8	7	4	4	6	12	12	10	10	10	9	10	10	8	12	12	6	12	12	10	4	4	6	18	18	8	14	14	13	10	8	9	10	10	10	12	12	11	14	14	9	5
0	0	0	4	2	4	6	16	9	8	12	12	9	10	10	10	8	8	10	10	8	10	12	14	11	12	8	8	8	8	20	16	13	20	12	14	12	12	12	12	9	16	12	12	10	12	10	12	10	12	16	16	12	18	4	4	6	8	8	7	8	10	6	10	8	7	4	4	6	12	12	10	10	10	9	10	10	8	12	12	6	12	12	10	4	4	6	18	18	8	14	14	13	10	8	9	10	10	10	12	12	11	14	14	9	5
4	4	4	0	2	0	6	14	7	10	12	14	11	8	12	12	10	10	12	12	10	10	10	12	9	10	10	10	10	10	20	18	13	20	12	14	12	10	10	10	7	16	12	12	10	12	12	12	12	12	14	14	10	16	6	6	8	12	12	11	4	8	4	12	10	9	0	0	2	10	10	8	6	6	5	10	10	8	12	12	6	10	10	12	8	8	6	18	18	6	12	12	11	10	6	9	12	12	12	10	10	11	12	12	7	5
2	2	2	2	0	2	8	16	9	10	12	12	9	8	12	12	10	10	12	12	10	10	12	14	11	12	8	8	8	8	20	16	13	20	12	14	12	12	10	10	7	16	12	12	10	12	10	12	10	12	16	16	12	18	4	4	6	10	10	9	6	10	6	12	10	9	2	2	4	12	12	10	8	8	7	10	10	8	12	12	6	12	12	12	6	6	8	18	18	6	12	12	11	10	8	9	10	10	10	12	12	11	12	12	9	5
4	4	4	0	2	0	6	14	7	10	12	14	11	8	12	12	10	10	12	12	10	10	10	12	9	10	10	10	10	10	20	18	13	20	12	14	12	10	10	10	7	16	12	12	10	12	12	12	12	12	14	14	10	16	6	6	8	12	12	11	4	8	4	12	10	9	0	0	2	10	10	8	6	6	5	10	10	8	12	12	6	10	10	12	8	8	6	18	18	6	12	12	11	10	6	9	12	12	12	10	10	11	12	12	7	5
6	6	6	6	8	6	0	10	3	4	14	12	9	14	12	12	10	12	10	10	8	12	6	8	5	6	10	10	10	10	22	22	15	22	14	16	14	12	14	14	11	18	14	14	12	14	14	14	14	14	16	16	12	18	10	10	12	10	10	9	10	12	8	12	12	9	6	6	4	10	10	8	4	4	5	14	14	12	12	12	8	6	6	6	6	6	4	22	22	12	16	16	15	12	10	11	16	16	14	8	8	9	16	16	9	10
16	16	16	14	16	14	10	0	7	14	14	12	9	16	18	18	16	18	18	18	16	18	8	8	7	10	14	14	14	14	22	22	15	22	20	22	18	18	16	16	13	16	14	14	12	14	18	18	16	18	16	16	12	18	14	14	18	18	18	17	14	16	12	18	18	15	14	14	12	14	14	12	10	10	11	18	18	14	16	16	12	10	10	14	14	14	12	22	22	16	20	20	15	14	12	13	20	20	16	12	12	15	16	16	13	10
9	9	9	7	9	7	3	7	0	7	13	11	8	13	13	13	11	13	11	11	9	11	5	5	2	3	9	9	9	9	19	19	12	19	13	15	13	11	13	13	10	15	11	11	9	11	13	13	11	13	13	13	9	15	11	11	13	13	13	12	9	11	7	13	13	10	7	7	5	7	7	5	5	5	4	13	13	9	9	9	5	3	3	7	7	7	5	19	19	11	13	13	12	11	9	10	15	15	11	7	7	8	13	13	8	10
8	8	8	10	10	10	4	14	7	0	16	14	11	16	14	14	12	14	10	10	8	12	10	12	9	10	12	12	12	12	24	24	17	24	16	18	16	16	16	16	13	20	16	16	14	16	16	16	16	14	20	20	16	22	12	12	14	12	12	11	14	16	12	14	14	11	10	10	8	10	10	8	8	8	9	16	16	14	14	14	10	10	10	6	8	8	8	24	24	14	18	18	17	14	14	13	14	14	16	12	12	11	18	18	13	9
12	12	12	12	12	12	14	14	13	16	0	12	7	12	12	12	12	14	16	16	14	14	16	16	13	16	16	16	16	16	18	18	9	18	16	18	14	18	10	10	7	10	14	14	12	14	16	16	14	16	18	18	14	20	10	10	14	18	18	17	12	14	10	14	14	13	12	12	14	18	18	16	12	12	13	14	14	12	16	16	8	16	16	18	16	16	16	20	20	12	16	16	13	8	10	11	18	18	14	16	16	17	16	16	11	4
12	12	12	14	12	14	12	12	11	14	12	0	5	16	16	16	14	16	16	16	14	16	12	14	11	14	10	10	10	10	22	18	13	22	18	20	16	18	16	16	13	12	16	16	14	14	10	12	12	12	20	20	14	22	10	10	14	14	14	13	12	12	10	16	16	13	14	14	12	16	16	14	12	12	13	16	16	14	18	18	12	14	14	14	10	10	12	22	22	16	20	20	15	8	8	9	14	14	14	10	10	13	18	18	15	7
9	9	9	11	9	11	9	9	8	11	7	5	0	11	15	15	13	15	15	15	13	15	11	11	8	11	9	9	9	9	19	15	10	19	17	19	15	17	11	11	8	11	13	13	11	13	13	15	11	15	17	17	13	19	7	7	11	11	11	10	11	13	9	15	15	12	11	11	9	13	13	11	9	9	8	15	15	11	15	15	9	11	11	13	9	9	11	19	19	11	17	17	12	9	9	10	15	15	11	11	11	12	15	15	10	10
10	10	10	8	8	8	14	16	13	16	12	16	11	0	16	16	14	14	18	18	16	16	16	16	13	16	14	14	14	14	20	16	13	20	18	20	16	18	6	6	7	16	14	14	12	14	16	16	14	16	18	18	14	20	10	10	12	16	16	15	10	14	10	16	14	13	8	8	10	16	16	14	12	12	11	14	14	10	16	16	10	16	16	18	14	14	14	18	18	8	16	16	11	14	12	13	16	16	14	16	16	17	14	14	11	4
10	10	10	12	12	12	12	18	13	14	12	16	15	16	0	0	2	2	12	12	10	12	14	16	13	16	14	14	14	14	16	18	9	16	12	14	10	14	14	14	11	16	14	14	12	14	14	14	14	14	18	18	12	18	12	12	12	14	12	13	12	12	10	6	6	5	12	12	14	18	18	16	16	16	15	8	8	10	12	12	8	16	16	14	12	12	12	20	20	10	14	14	13	10	12	11	12	12	14	14	14	15	16	16	13	2
10	10	10	12	12	12	12	18	13	14	12	16	15	16	0	0	2	2	12	12	10	12	14	16	13	16	14	14	14	14	16	18	9	16	12	14	10	14	14	14	11	16	14	14	12	14	14	14	14	14	18	18	12	18	12	12	12	14	12	13	12	12	10	6	6	5	12	12	14	18	18	16	16	16	15	8	8	10	12	12	8	16	16	14	12	12	12	20	20	10	14	14	13	10	12	11	12	12	14	14	14	15	16	16	13	2
8	8	8	10	10	10	10	16	11	12	12	14	13	14	2	2	0	2	10	10	8	10	12	14	11	14	12	12	12	12	16	16	9	16	12	14	10	12	14	14	11	16	12	12	10	12	12	12	12	12	16	16	10	16	10	10	10	12	10	11	10	10	8	6	4	3	10	10	12	16	16	14	14	14	13	8	8	10	10	10	6	14	14	12	10	10	10	18	18	8	14	14	11	10	10	9	10	10	12	12	12	13	14	14	11	2
8	8	8	10	10	10	12	18	13	14	14	16	15	14	2	2	2	0	12	12	10	12	14	16	13	16	12	12	12	12	18	16	11	18	14	16	12	14	16	16	13	18	14	14	12	14	14	14	14	14	18	18	12	18	10	10	10	12	10	11	10	10	8	8	4	5	10	10	12	16	16	14	16	16	15	6	6	8	12	12	8	16	16	14	10	10	10	18	18	8	16	16	13	12	10	11	10	10	14	14	14	15	16	16	13	2
10	10	10	12	12	12	10	18	11	10	16	16	15	18	12	12	10	12	0	0	2	4	14	16	13	14	12	12	12	12	22	22	15	22	16	16	14	16	18	18	13	18	16	16	14	16	14	14	16	12	20	20	16	22	14	14	16	16	16	15	14	16	12	12	10	9	12	12	12	16	16	14	14	14	13	14	14	14	16	16	8	14	14	8	8	8	8	20	20	14	16	16	15	14	14	11	18	18	16	12	12	11	16	16	13	9
10	10	10	12	12	12	10	18	11	10	16	16	15	18	12	12	10	12	0	0	2	4	14	16	13	14	12	12	12	12	22	22	15	22	16	16	14	16	18	18	13	18	16	16	14	16	14	14	16	12	20	20	16	22	14	14	16	16	16	15	14	16	12	12	10	9	12	12	12	16	16	14	14	14	13	14	14	14	16	16	8	14	14	8	8	8	8	20	20	14	16	16	15	14	14	11	18	18	16	12	12	11	16	16	13	9
8	8	8	10	10	10	8	16	9	8	14	14	13	16	10	10	8	10	2	2	0	4	12	14	11	12	10	10	10	10	20	20	13	20	14	14	12	14	16	16	11	16	14	14	12	14	12	12	14	10	18	18	14	20	12	12	14	14	14	13	12	14	10	10	8	7	10	10	10	14	14	12	12	12	11	12	12	12	14	14	6	12	12	6	6	6	6	20	20	12	14	14	13	12	12	9	16	16	14	10	10	9	14	14	11	9
10	10	10	10	10	10	12	18	11	12	14	16	15	16	12	12	10	12	4	4	4	0	14	16	13	14	10	10	10	10	20	20	13	20	14	14	12	14	16	16	11	16	14	14	12	14	12	12	14	10	18	18	14	20	12	12	14	18	18	17	12	14	10	12	10	9	10	10	12	16	16	14	14	14	13	12	12	12	14	14	6	14	14	10	10	10	10	18	18	12	14	14	13	12	12	9	16	16	14	12	12	11	14	14	11	9
12	12	12	10	12	10	6	8	5	10	16	12	11	16	14	14	12	14	14	14	12	14	0	2	5	8	8	8	8	8	22	22	15	22	16	18	14	14	16	16	13	18	14	14	12	14	14	14	14	14	16	16	12	18	12	12	14	14	14	13	10	12	8	12	12	11	10	10	8	12	12	10	8	8	9	14	14	12	14	14	10	8	8	10	10	10	8	22	22	14	18	18	15	12	10	11	16	16	12	8	8	11	16	16	11	10
14	14	14	12	14	12	8	8	5	12	16	14	11	16	16	16	14	16	16	16	14	16	2	0	5	8	10	10	10	10	22	22	15	22	18	20	16	16	16	16	13	18	12	12	10	14	16	16	14	16	16	16	12	18	14	14	16	16	16	15	12	14	10	14	14	13	12	12	10	12	12	10	10	10	9	16	16	12	14	14	10	8	8	12	12	12	10	22	22	14	18	18	15	14	12	13	18	18	12	10	10	13	16	16	11	10
11	11	11	9	11	9	5	7	2	9	13	11	8	13	13	13	11	13	13	13	11	13	5	5	0	3	9	9	9	9	19	19	12	19	15	17	13	13	13	13	10	15	11	11	9	9	11	11	11	11	13	13	7	15	11	11	13	13	13	12	7	11	7	13	13	10	9	9	7	9	9	7	7	7	6	13	13	9	11	11	7	3	3	9	9	9	7	19	19	11	13	13	10	11	9	10	13	13	9	5	5	8	11	11	8	10
12	12	12	10	12	10	6	10	3	10	16	14	11	16	16	16	14	16	14	14	12	14	8	8	3	0	12	12	12	12	22	22	15	22	16	18	16	14	16	16	13	18	14	14	12	10	14	14	14	14	16	16	10	18	14	14	16	16	16	15	10	14	10	16	16	13	10	10	8	8	10	8	8	8	7	16	16	12	12	12	8	0	0	10	10	10	8	22	22	14	14	14	13	14	12	13	16	16	12	8	8	9	14	14	11	10
8	8	8	10	8	10	10	14	9	12	16	10	9	14	14	14	12	12	12	12	10	10	8	10	9	12	0	0	0	0	22	18	15	22	16	18	14	16	16	16	13	18	14	14	12	14	12	14	12	14	18	18	14	20	8	8	10	10	10	9	10	12	8	10	8	9	10	10	8	12	12	10	12	12	11	12	12	10	16	16	10	12	12	10	4	4	6	20	20	12	18	18	15	12	10	11	12	12	10	8	8	9	16	16	13	9
8	8	8	10	8	10	10	14	9	12	16	10	9	14	14	14	12	12	12	12	10	10	8	10	9	12	0	0	0	0	22	18	15	22	16	18	14	16	16	16	13	18	14	14	12	14	12	14	12	14	18	18	14	20	8	8	10	10	10	9	10	12	8	10	8	9	10	10	8	12	12	10	12	12	11	12	12	10	16	16	10	12	12	10	4	4	6	20	20	12	18	18	15	12	10	11	12	12	10	8	8	9	16	16	13	9
8	8	8	10	8	10	10	14	9	12	16	10	9	14	14	14	12	12	12	12	10	10	8	10	9	12	0	0	0	0	22	18	15	22	16	18	14	16	16	16	13	18	14	14	12	14	12	14	12	14	18	18	14	20	8	8	10	10	10	9	10	12	8	10	8	9	10	10	8	12	12	10	12	12	11	12	12	10	16	16	10	12	12	10	4	4	6	20	20	12	18	18	15	12	10	11	12	12	10	8	8	9	16	16	13	9
8	8	8	10	8	10	10	14	9	12	16	10	9	14	14	14	12	12	12	12	10	10	8	10	9	12	0	0	0	0	22	18	15	22	16	18	14	16	16	16	13	18	14	14	12	14	12	14	12	14	18	18	14	20	8	8	10	10	10	9	10	12	8	10	8	9	10	10	8	12	12	10	12	12	11	12	12	10	16	16	10	12	12	10	4	4	6	20	20	12	18	18	15	12	10	11	12	12	10	8	8	9	16	16	13	9
20	20	20	20	20	20	22	22	19	24	18	22	19	20	16	16	16	18	22	22	20	20	22	22	19	22	22	22	22	22	0	8	9	0	20	18	14	22	18	18	13	16	20	20	18	20	18	18	20	18	22	22	18	22	20	20	20	24	24	23	20	20	18	16	18	15	20	20	22	24	24	22	22	22	21	20	20	18	18	18	16	22	22	24	22	22	22	10	10	14	16	16	13	18	20	17	20	20	20	22	22	23	18	18	17	1
16	16	16	18	16	18	22	22	19	24	18	18	15	16	18	18	16	16	22	22	20	20	22	22	19	22	18	18	18	18	8	0	9	8	22	20	16	22	20	20	15	16	20	20	18	20	16	18	18	18	22	22	18	22	16	16	16	20	20	19	16	16	14	18	16	15	18	18	20	22	22	20	22	22	21	18	18	16	18	18	16	22	22	24	18	18	20	10	10	12	18	18	13	18	16	17	16	16	18	22	22	23	18	18	17	1
13	13	13	13	13	13	15	15	12	17	9	13	10	13	9	9	9	11	15	15	13	13	15	15	12	15	15	15	15	15	9	9	0	9	13	11	7	15	11	11	6	7	13	13	11	13	11	11	13	11	17	17	11	17	13	13	13	17	17	16	11	11	9	9	11	8	13	13	15	17	17	15	15	15	14	13	13	11	11	11	9	15	15	17	15	15	15	15	15	7	9	9	6	9	11	10	13	13	13	15	15	16	11	11	10	4
20	20	20	20	20	20	22	22	19	24	18	22	19	20	16	16	16	18	22	22	20	20	22	22	19	22	22	22	22	22	0	8	9	0	20	18	14	22	18	18	13	16	20	20	18	20	18	18	20	18	22	22	18	22	20	20	20	24	24	23	20	20	18	16	18	15	20	20	22	24	24	22	22	22	21	20	20	18	18	18	16	22	22	24	22	22	22	10	10	14	16	16	13	18	20	17	20	20	20	22	22	23	18	18	17	1
12	12	12	12	12	12	14	20	13	16	16	18	17	18	12	12	12	14	16	16	14	14	16	18	15	16	16	16	16	16	20	22	13	20	0	2	6	2	16	16	13	16	14	14	12	14	16	14	16	16	18	18	14	16	14	14	12	18	18	17	14	12	12	10	14	11	12	12	14	18	18	16	16	16	13	12	12	14	14	14	10	16	16	14	14	14	14	20	20	14	12	12	13	10	14	11	16	16	16	14	14	15	16	16	13	6
14	14	14	14	14	14	16	22	15	18	18	20	19	20	14	14	14	16	16	16	14	14	18	20	17	18	18	18	18	18	18	20	11	18	2	0	4	4	18	18	13	14	16	16	14	16	14	12	18	14	20	20	16	18	16	16	14	20	20	19	16	14	14	12	16	13	14	14	16	20	20	18	18	18	15	14	14	16	16	16	12	18	18	16	16	16	16	20	20	14	10	10	11	12	16	11	18	18	18	16	16	17	14	14	13	6
12	12	12	12	12	12	14	18	13	16	14	16	15	16	10	10	10	12	14	14	12	12	14	16	13	16	14	14	14	14	14	16	7	14	6	4	0	8	14	14	9	12	14	14	12	14	10	10	14	10	18	18	12	16	12	12	10	16	16	15	12	10	10	10	12	9	12	12	14	18	18	16	16	16	15	10	10	12	14	14	10	16	16	14	14	14	14	16	16	10	8	8	7	10	12	9	14	14	14	14	14	15	12	12	11	6
12	12	12	10	12	10	12	18	11	16	18	18	17	18	14	14	12	14	16	16	14	14	14	16	13	14	16	16	16	16	22	22	15	22	2	4	8	0	18	18	15	18	14	14	12	14	16	14	16	16	16	16	12	14	14	14	12	18	18	17	12	10	10	12	14	11	10	10	12	16	16	14	14	14	11	12	12	14	14	14	10	14	14	14	14	14	12	20	20	14	14	14	13	12	12	11	16	16	16	12	12	15	16	16	11	6
12	12	12	10	10	10	14	16	13	16	10	16	11	6	14	14	14	16	18	18	16	16	16	16	13	16	16	16	16	16	18	20	11	18	16	18	14	18	0	2	5	14	14	14	12	14	16	16	14	16	18	18	14	20	12	12	12	18	18	17	12	16	12	14	16	13	10	10	12	18	18	16	12	12	11	16	16	12	16	16	10	16	16	18	16	16	16	20	20	10	14	14	11	12	14	13	18	18	12	16	16	17	14	12	11	4
12	12	12	10	10	10	14	16	13	16	10	16	11	6	14	14	14	16	18	18	16	16	16	16	13	16	16	16	16	16	18	20	11	18	16	18	14	18	2	0	5	12	14	14	12	14	16	16	14	16	18	18	14	20	12	12	14	18	18	17	12	16	12	14	16	13	10	10	12	18	18	16	12	12	11	16	16	12	16	16	10	16	16	18	16	16	16	20	20	10	14	14	11	12	14	13	18	18	14	16	16	17	14	12	11	4
9	9	9	7	7	7	11	13	10	13	7	13	8	7	11	11	11	13	13	13	11	11	13	13	10	13	13	13	13	13	13	15	6	13	13	13	9	15	5	5	0	9	11	11	9	11	11	11	11	11	15	15	11	17	9	9	11	15	15	14	9	13	9	11	13	10	7	7	9	15	15	13	9	9	8	13	13	9	13	13	7	13	13	15	13	13	13	15	15	5	9	9	6	9	11	8	15	15	11	13	13	14	9	9	6	4
16	16	16	16	16	16	18	16	15	20	10	12	11	16	16	16	16	18	18	18	16	16	18	18	15	18	18	18	18	18	16	16	7	16	16	14	12	18	14	12	9	0	14	14	12	12	12	10	16	12	18	18	14	20	14	14	18	22	22	21	14	14	12	14	18	15	16	16	18	20	20	18	18	18	15	18	18	14	18	18	12	18	18	20	18	18	18	20	20	14	14	14	11	6	10	7	18	18	16	14	14	19	12	12	11	4
12	12	12	12	12	12	14	14	11	16	14	16	13	14	14	14	12	14	16	16	14	14	14	12	11	14	14	14	14	14	20	20	13	20	14	16	14	14	14	14	11	14	0	4	2	8	14	12	12	14	12	12	10	14	12	12	14	18	18	17	12	14	10	12	14	11	12	12	14	16	16	14	16	16	11	14	14	10	14	14	8	14	14	16	14	14	14	20	20	12	16	16	13	10	12	9	16	16	12	12	12	15	8	10	9	8
12	12	12	12	12	12	14	14	11	16	14	16	13	14	14	14	12	14	16	16	14	14	14	12	11	14	14	14	14	14	20	20	13	20	14	16	14	14	14	14	11	14	4	0	2	8	14	12	12	14	12	12	10	14	12	12	14	18	18	17	12	14	10	12	14	11	12	12	14	16	16	14	16	16	11	14	14	10	14	14	8	14	14	16	14	14	14	20	20	12	16	16	13	10	12	9	16	16	12	12	12	15	6	8	9	8
10	10	10	10	10	10	12	12	9	14	12	14	11	12	12	12	10	12	14	14	12	12	12	10	9	12	12	12	12	12	18	18	11	18	12	14	12	12	12	12	9	12	2	2	0	6	12	10	10	12	10	10	8	12	10	10	12	16	16	15	10	12	8	10	12	9	10	10	12	14	14	12	14	14	9	12	12	8	12	12	6	12	12	14	12	12	12	18	18	10	14	14	11	8	10	7	14	14	10	10	10	13	6	8	7	8
12	12	12	12	12	12	14	14	11	16	14	14	13	14	14	14	12	14	16	16	14	14	14	14	9	10	14	14	14	14	20	20	13	20	14	16	14	14	14	14	11	12	8	8	6	0	10	8	12	10	12	12	6	14	12	12	14	18	18	17	10	12	10	12	14	11	12	12	14	16	16	14	16	16	11	14	14	10	14	14	8	10	10	16	14	14	14	20	20	12	14	14	11	8	10	7	12	12	10	8	8	13	8	8	9	8
10	10	10	12	10	12	14	18	13	16	16	10	13	16	14	14	12	14	14	14	12	12	14	16	11	14	12	12	12	12	18	16	11	18	16	14	10	16	16	16	11	12	14	14	12	10	0	2	10	2	18	18	10	20	10	10	12	16	16	15	10	12	10	14	14	11	12	12	14	18	18	16	16	16	15	14	14	12	16	16	10	14	14	16	12	12	14	20	20	12	12	12	9	10	10	7	8	8	10	10	10	13	10	10	11	7
12	12	12	12	12	12	14	18	13	16	16	12	15	16	14	14	12	14	14	14	12	12	14	16	11	14	14	14	14	14	18	18	11	18	14	12	10	14	16	16	11	10	12	12	10	8	2	0	12	2	16	16	10	18	12	12	14	18	18	17	10	12	10	12	14	11	12	12	14	18	18	16	16	16	13	14	14	12	16	16	10	14	14	16	14	14	14	20	20	12	12	12	9	8	10	5	10	10	12	8	8	13	8	8	9	7
10	10	10	12	10	12	14	16	11	16	14	12	11	14	14	14	12	14	16	16	14	14	14	14	11	14	12	12	12	12	20	18	13	20	16	18	14	16	14	14	11	16	12	12	10	12	10	12	0	12	16	16	12	18	10	10	12	16	16	15	12	14	10	14	14	11	12	12	14	16	16	14	16	16	13	12	12	10	14	14	8	14	14	16	12	12	14	20	20	12	16	16	13	12	12	11	14	14	10	14	14	15	14	14	11	7
